ID,TAG,NAME,UI_NAME,E_NAME,E_UI_NAME,SYMBOL,COLOR,SLOT,TVAL,SVAL,STR,INT,WIS,DEX,CON,CHA,SRH,STL,MMS,SPD,PVAL,DEPTH,WEIGHT,AP_RATE,COST,CHARGE,MIN_SIZE,MAX_SIZE,BASE_AC,BASE_EV,BASE_VO,BASE_DAMAGE,PLUS_HIT,PLUS_DAM,PLUS_AC,PLUS_EV,PLUS_VO,BOW_MUL,MIN_SIZE,MAX_SIZE,MIN_SIZE_PERMIT,MAX_SIZE_PERMIT,ADD_DEPTH_RARITY,FLAGS,DESCRIPTION,E_DESCRIPTION,COMMENT
10,10,病弱,緑の,Unhealth,Green,",",g,INVENTORY,FOOD,10,0,0,0,0,0,0,0,0,0,0,500,15,0,100,50,0,0,0,0,0,,10d10,0,0,0,0,0,0,5,15,-2,2,15/1,DEC_CON|FOOD_POISONING_10D10,それは食べると10d10のダメージを受け、耐久力の現在値が下がる。,You take 10d10 damage and it decreases your constitution when you eat it.,
11,11,耐久力復活,グレーの,Restore Constitution,Grey,",",s,INVENTORY,FOOD,18,0,0,0,0,0,0,0,0,0,0,500,20,0,100,350,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,20/1,RES_CON,それは食べると耐久力が回復する。,It restores your constitution when you eat it.,
12,12,全復活,空色の,Restoring,Light Blue,",",B,INVENTORY,FOOD,19,0,0,0,0,0,0,0,0,0,0,500,20,0,100,1000,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,20/8:30/4:40/1,RESTORE_ALL,それは食べると全ステータスが回復する。,It restores all your stats when you eat it.,
13,13,無知,黄緑の,Stupidity,Light Green,",",G,INVENTORY,FOOD,8,0,0,0,0,0,0,0,0,0,0,500,15,0,100,0,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,15/1,DEC_INT|FOOD_POISONING_8D8,それは食べると8d8のダメージを受け、知能の現在値が下がる。,You take 8d8 damage and it decreases your intelligence when you eat it.,
14,14,愚鈍,スミレ色の,Naivety,Violet,",",v,INVENTORY,FOOD,9,0,0,0,0,0,0,0,0,0,0,500,15,0,100,0,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,15/1,DEC_WIS|FOOD_POISONING_8D8,それは食べると8d8のダメージを受け、賢さの現在値が下がる。,You take 8d8 damage and it decreases your wisdom when you eat it.,
15,15,毒,赤い,Poison,Red,",",r,INVENTORY,FOOD,0,0,0,0,0,0,0,0,0,0,0,500,5,0,100,0,0,0,0,0,0,,4d4,0,0,0,0,0,0,5,15,-2,2,5/1:5/1,EAT_POISONOUS,それは食べると毒に冒される。,It poisons you when you eat it.,
16,16,病気,ねばねばした,Sickness,Slimy,",",s,INVENTORY,FOOD,7,0,0,0,0,0,0,0,0,0,0,500,10,0,100,0,0,0,0,0,0,,4d4,0,0,0,0,0,0,5,15,-2,2,10/1,DEC_CON|FOOD_POISONING_6D6,それは食べると6d6のダメージを受け、耐久力の現在値が下がる。,You take 6d6 damage and it decreases your constitution when you eat it.,
17,17,麻痺,黄褐色の,Paralysis,Tan,",",U,INVENTORY,FOOD,5,0,0,0,0,0,0,0,0,0,0,500,20,0,100,0,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,20/1,,それは食べると麻痺する。,It paralyzes you when you eat it.,
18,18,腕力復活,白い,Restore Strength,White,",",w,INVENTORY,FOOD,17,0,0,0,0,0,0,0,0,0,0,500,20,0,100,350,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,20/1,RES_STR,それは食べると腕力が回復する。,It restores your strength when you eat it.,
19,19,疾病,白斑の,Disease,White Spotted,",",w,INVENTORY,FOOD,11,0,0,0,0,0,0,0,0,0,0,500,20,0,100,50,0,0,0,0,0,,10d10,0,0,0,0,0,0,5,15,-2,2,20/1,DEC_STR|FOOD_POISONING_10D10,それは食べると10d10のダメージを受け、腕力の現在値が下がる。,You take 10d10 damage and it decreases your strength when you eat it.,
20,20,重傷の治癒,しわしわの,Cure Serious Wounds,Wrinkled,",",u,INVENTORY,FOOD,16,0,0,0,0,0,0,0,0,0,0,500,15,0,100,75,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,15/1,SELF_HEALING_4D8,それは食べると体力が4d8回復する。,It heals you 4d8 when you eat it.,##### Normal Food #####
21,21,食料,,& Ration~ of Food,,",",U,INVENTORY,FOOD,35,0,0,0,0,0,0,0,0,0,0,5000,0,4,100,3,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,0/1:5/1:10/1:20/1,,栄養はあるが味気ないこの食料は長旅を考える冒険者に良く合う。,This nutritious but fairly bland food is familiar to anyone contemplating long journeys.,
22,22,ビスケット,,& Hard Biscuit~,,",",U,INVENTORY,FOOD,32,0,0,0,0,0,0,0,0,0,0,500,0,0,100,1,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,,,日持ちを良くする為に二度焼きした乾パンの一種だ。岩のように固く、味もだいたいその程度。,"Twice-cooked for good keeping qualities, this lump of bread is as hard as a rock and about as tasty.","#""鹿肉""は誤訳"
23,23,乾し肉,,& Strip~ of Venison,,",",u,INVENTORY,FOOD,33,0,0,0,0,0,0,0,0,0,0,1500,0,0,100,2,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,,,良く乾燥させた肉。決して腐る事が無さそうだ。,A strip of jerked beef that seems never to spoil.,
24,24,スライムモルド,,& Slime Mold~,,",",g,INVENTORY,FOOD,36,0,0,0,0,0,0,0,0,0,0,3000,1,2,100,2,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,1/1,,ぞっとするような菌類の固まりだ。なぜか食欲を刺激する…。,An utterly hideous fungal growth.  It is strangely appealing...,"#waybread now fully satisfies the player, instead of increasing the food count."
25,25,エルフの行糧,,& Piece~ of Elvish Waybread,,",",B,INVENTORY,FOOD,37,0,0,0,0,0,0,0,0,0,0,7500,5,1,100,30,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,5/1:10/1,REMOVE_POISON|SELF_HEALING_4D8,銀色の葉に包まれた小さな山吹色の薄焼き菓子の束だ。エルフの技で作られ、その滋養は他に食べ物が何も無くとも数週間もの間生命を維持する程である。,"Small golden-brown wafers wrapped in silven leaves.  Made with elvish art, it sustains life where nothing else can.",
26,26,高級エール,,& Pint~ of Fine Ale,,",",y,INVENTORY,FOOD,38,0,0,0,0,0,0,0,0,0,0,500,0,2,100,1,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,,,エリアドールの大麦を醸造し、金色になるまで熟成させたものだ。,"Made from the barley of Eriador, and brewed to golden perfection.",
27,27,高級ワイン,,& Pint~ of Fine Wine,,",",r,INVENTORY,FOOD,39,0,0,0,0,0,0,0,0,0,0,1000,0,4,100,2,0,0,0,0,0,,1d1,0,0,0,0,0,0,5,15,-2,2,,,ベイウォーターの緑竜邸で出るのと同じくらい質の良い、アルコール度の高いワインだ。,"A heady wine, almost as good as that served at the Green Dragon at Bywater.",##### Extra digger ######JZ#
28,28,戦闘用つるはし,,& Mattock~,,\,D,HAND,DIGGING,7,0,0,0,0,0,0,0,0,0,0,2,50,112,100,700,0,0,0,0,0,,1d8,0,0,0,0,0,0,5,15,-2,2,50/1,SHOW_MODS|TUNNEL,,,##### Edged Weapons ######JZ#
29,29,野太刀,,& No-dachi~,,|,W,HAND,SWORD,27,0,0,0,0,0,0,0,0,0,0,0,35,35,100,579,0,0,0,0,0,,5d4,0,0,0,0,0,0,5,15,-2,2,35/3,SHOW_MODS,,,
30,30,折れたダガー,,& Broken Dagger~,,|,D,HAND,SWORD,1,0,0,0,0,0,0,0,0,0,0,0,0,2,100,1,0,0,0,0,0,,1d1,-2,-4,0,0,0,0,5,15,-2,2,0/1,SHOW_MODS,,,
31,31,バスタード・ソード,,& Bastard Sword~,,|,W,HAND,SWORD,21,0,0,0,0,0,0,0,0,0,0,0,15,28,100,350,0,0,0,0,0,,3d4,0,0,0,0,0,0,5,15,-2,2,15/1,SHOW_MODS,片手半剣とも呼ばれる。通常のロングソードよりも長い両刃の直刀だ。,Also known as the hand-and-a-half blade.  A larger-than-normal straight-sided sword with two cutting edges.,
32,32,シミター,,& Scimitar~,,|,W,HAND,SWORD,18,0,0,0,0,0,0,0,0,0,0,0,10,21,100,250,0,0,0,0,0,,2d5,0,0,0,0,0,0,5,15,-2,2,10/1,SHOW_MODS,斬る用途に特化した三日月のような刀身を持つ片刃の剣だ。,A single-edged slashing sword with a blade like a crescent.,
33,33,タルワール,,& Tulwar~,,|,W,HAND,SWORD,15,0,0,0,0,0,0,0,0,0,0,0,5,18,100,200,0,0,0,0,0,,2d4,0,0,0,0,0,0,5,15,-2,2,5/1,SHOW_MODS|RIDING,,,
34,34,ブロード・ソード,,& Broad Sword~,,|,W,HAND,SWORD,16,0,0,0,0,0,0,0,0,0,0,0,10,22,100,255,0,0,0,0,0,,2d5,0,0,0,0,0,0,5,15,-2,2,10/1:15/1,SHOW_MODS|RIDING,重く広い刀身と頑丈な柄を持った両刃の直刀だ。,"A heavy, double-edged sword with a strong grip.",
35,35,ショート・ソード,,& Short Sword~,,|,W,HAND,SWORD,10,0,0,0,0,0,0,0,0,0,0,0,5,14,100,90,0,0,0,0,0,,1d7,0,0,0,0,0,0,5,15,-2,2,5/1,SHOW_MODS,主に突く用途に用いる短い剣だ。,A short thrusting sword.,
36,36,カオス・ブレード,,& Blade~ of Chaos,,|,v,HAND,SWORD,30,0,0,0,0,0,0,0,0,0,0,0,70,55,100,4000,0,0,0,0,0,,6d5,0,0,0,0,0,0,5,15,-2,2,70/8,RES_CHAO|SHOW_MODS,千変万化の姿を持つこの武器は混沌の力によって敵を切り刻み、殺戮にふける事に残忍な喜びを感じている。,"This inconstant weapon revels in disorder, hacking and slashing your foes with bloodthirsty glee.",
37,37,グレート・ソード,,& Two-Handed Sword~,,|,W,HAND,SWORD,25,0,0,0,0,0,0,0,0,0,0,0,30,35,100,775,0,0,0,0,0,,3d6,0,0,0,0,0,0,5,15,-2,2,30/1:40/1,SHOW_MODS,非常に大きな両刃の直刀で、これを片手で持てる者はほとんどいない。,"A great, double-edged broadsword which few can wield in one hand.",
38,38,マン・ゴーシュ,,& Main Gauche~,,|,W,HAND,SWORD,5,0,0,0,0,0,0,0,0,0,0,0,3,6,100,25,0,0,0,0,0,,1d5,0,0,0,0,0,0,5,15,-2,2,3/1,SHOW_MODS,拳を防御する大きな鍔を持つ短い剣。主に決闘で防御用の短剣として用いられる。,"A short thrusting blade with a large guard, primarily used in duels.",
39,39,カットラス,,& Cutlass~,,|,W,HAND,SWORD,12,0,0,0,0,0,0,0,0,0,0,0,5,12,100,85,0,0,0,0,0,,1d7,0,0,0,0,0,0,5,15,-2,2,5/1,SHOW_MODS,大きな曲った刀身と手をカバーする網状の柄を備えた剣だ。船員に良く用いられる。,"A large, curved chopper with a basket hilt, well known to seamen.",
40,40,首切りソード,,& Executioner's Sword~,,|,r,HAND,SWORD,28,0,0,0,0,0,0,0,0,0,0,0,40,45,100,850,0,0,0,0,0,,4d5,0,0,0,0,0,0,5,15,-2,2,40/1,SHOW_MODS,胴体から頭を綺麗に切り落とす為に作られた、巨大な曲った刃を持つ剣だ。,"A giant, curved blade designed to cleave the head cleanly from the body.",
41,41,カタナ,,& Katana~,,|,W,HAND,SWORD,20,0,0,0,0,0,0,0,0,0,0,0,20,20,100,400,0,0,0,0,0,,3d4,0,0,0,0,0,0,5,15,-2,2,20/1,SHOW_MODS,長い柄と微妙に曲った刃を持つ切れ味に優れた片刃の剣だ。,A slightly curved long-handled slashing sword with a single-edged blade and a chisel tip.,
42,42,ロング・ソード,,& Long Sword~,,|,W,HAND,SWORD,17,0,0,0,0,0,0,0,0,0,0,0,10,20,100,300,0,0,0,0,0,,2d5,0,0,0,0,0,0,5,15,-2,2,10/1:20/1,SHOW_MODS|RIDING,十字の形に2本の柄が付いた長い両刃の直刀だ。,"A long, straight, two-edged blade, with two hand guards projecting out from the hilt to form a perfect cross.",
43,43,ダガー,,& Dagger~,,|,W,HAND,SWORD,4,0,0,0,0,0,0,0,0,0,0,0,0,4,100,10,0,0,0,0,0,,1d4,0,0,0,0,0,0,5,15,-2,2,0/1:5/1:10/1:20/1,SHOW_MODS,先端が鋭い両刃の短剣だ。,A two-edged knife with a sharp point.,
44,44,レイピア,,& Rapier~,,|,W,HAND,SWORD,7,0,0,0,0,0,0,0,0,0,0,0,5,8,100,42,0,0,0,0,0,,1d6,0,0,0,0,0,0,5,15,-2,2,5/1,SHOW_MODS,突きに用いる長く細い刀身を持つ剣。主に決闘に用いられる。,"A long, thin thrusting blade, mainly used in duels.",
45,45,サーベル,,& Sabre~,,|,W,HAND,SWORD,11,0,0,0,0,0,0,0,0,0,0,0,5,15,100,50,0,0,0,0,0,,1d7,0,0,0,0,0,0,5,15,-2,2,5/1,SHOW_MODS|RIDING,軽い少し曲った刃を持ち、切る事も突く事もできる。馬上及び決闘においてよく使われる。,"A light, somewhat curved blade that can be used to thrust or slash; familiar to horseman and duelists alike.",
46,46,スモール・ソード,,& Small Sword~,,|,W,HAND,SWORD,8,0,0,0,0,0,0,0,0,0,0,0,5,11,100,48,0,0,0,0,0,,1d6,0,0,0,0,0,0,5,15,-2,2,5/1,SHOW_MODS,ロングソードを少し短くしたような剣だ。,"A smaller version of the longsword, perfectly sized for Hobbits.",
47,47,折れた剣,,& Broken Sword~,,|,D,HAND,SWORD,2,0,0,0,0,0,0,0,0,0,0,0,0,8,100,2,0,0,0,0,0,,1d2,-2,-4,0,0,0,0,5,15,-2,2,0/1,SHOW_MODS,柄の上でギザギザに折れている。,"Above the hilt, a foot of steel rises, ending in a jagged edge.",##### Hafted Weapons #####
48,48,鎖つき鉄球,,& Ball-and-Chain~,,\,D,HAND,HAFTED,6,0,0,0,0,0,0,0,0,0,0,0,20,65,100,200,0,0,0,0,0,,2d4,0,0,0,0,0,0,5,15,-2,2,20/1,SHOW_MODS|RIDING,頑丈な木製のハンドルに、重い鉄のボールが鎖で繋っている。,"A weighty iron ball, suspended by a chain from a sturdy oaken handle.",
49,49,ムチ,,& Whip~,,\,D,HAND,HAFTED,2,0,0,0,0,0,0,0,0,0,0,0,3,15,100,30,0,0,0,0,0,,1d6,0,0,0,0,0,0,5,15,-2,2,3/1,SHOW_MODS,重い鞭だ。きつく巻いたこの鞭を肩の上から振り下ろすと大の男でも打ち倒す事ができる。,"A heavy whip, this thick coil is thrown from the shoulder and can knock down a large man.",
50,50,フレイル,,& Flail~,,\,D,HAND,HAFTED,13,0,0,0,0,0,0,0,0,0,0,0,10,70,100,353,0,0,0,0,0,,2d6,0,0,0,0,0,0,5,15,-2,2,10/1,SHOW_MODS|RIDING,2本の重い木製の棒を短い鎖で繋げた物だ。対象を叩き潰す為に用いる。,"Two heavy bars of wood connected by a short link of chain, capable of delivering crushing blows.",
51,51,ヘヴィ・フレイル,,& Two-Handed Flail~,,\,y,HAND,HAFTED,18,0,0,0,0,0,0,0,0,0,0,0,45,150,100,590,0,0,0,0,0,,3d6,0,0,0,0,0,0,5,15,-2,2,45/1,SHOW_MODS,2本の非常に大きな木製の棒を重い鎖で継いである。うまく用いるためには両手が必要だ。,"Two great bars of wood connected by a massive chain, needing two hands to properly wield.",
52,52,モーニング・スター,,& Morning Star~,,\,D,HAND,HAFTED,12,0,0,0,0,0,0,0,0,0,0,0,10,75,100,396,0,0,0,0,0,,2d6,0,0,0,0,0,0,5,15,-2,2,10/1,SHOW_MODS,星型のトゲが突き出た鉄球が先端に付いた棍棒だ。,A war club with an spiked iron ball on the head.,
53,53,メイス,,& Mace~,,\,D,HAND,HAFTED,5,0,0,0,0,0,0,0,0,0,0,0,5,50,100,130,0,0,0,0,0,,2d4,0,0,0,0,0,0,5,15,-2,2,5/1,SHOW_MODS,鉄球、または鍔付きの多面体形の鉄塊が先端に付いた棍棒だ。,"A war club with an iron head, usually flanged.",
54,54,クォータースタッフ,,& Quarterstaff~,,\,U,HAND,HAFTED,3,0,0,0,0,0,0,0,0,0,0,0,10,45,100,200,0,0,0,0,0,,1d9,0,0,0,0,0,0,5,15,-2,2,10/1,SHOW_MODS,2メートル程度の長さの木製の杖だ。両手で持って打ち付けたり攻撃を受け止める為に用いられる。,Six feet of oak which can be wielded in both hands to give a drubbing or block one.,
55,55,ウォー・ハンマー,,& War Hammer~,,\,D,HAND,HAFTED,8,0,0,0,0,0,0,0,0,0,0,0,5,60,100,225,0,0,0,0,0,,3d3,0,0,0,0,0,0,5,15,-2,2,5/1,SHOW_MODS|RIDING,長いハンドルがあり、先の尖った槌が先端から直角に付き出た形をしている。,A mallet with a tapered head and a long handle.,
56,56,鉛詰めメイス,,& Lead-Filled Mace~,,\,D,HAND,HAFTED,15,0,0,0,0,0,0,0,0,0,0,0,15,80,100,502,0,0,0,0,0,,3d4,0,0,0,0,0,0,5,15,-2,2,15/1,SHOW_MODS,重い棍棒の先に鉛を詰めた鋼鉄の重りを繋げてある。対象を叩き潰す為に用いる。,"A heavy war club topped with a mass of lead-filled steel, capable of landing crushing blows.",
57,57,粉砕のメイス,,& Mace~ of Disruption,,\,v,HAND,HAFTED,20,0,0,0,0,0,0,0,0,0,0,0,80,240,100,4300,0,0,0,0,0,,5d8,0,0,0,0,0,0,5,15,-2,2,80/8,SLAY_UNDEAD|SHOW_MODS,巨人の武器であり、相手の骨を、体を、そして精神をも粉砕する魔法が掛けられている。,"A giant's weapon, enchanted with shattering power that breaks bones, bodies, and spirit.",
58,58,ルツェルン・ハンマー,,& Lucerne Hammer~,,/,B,HAND,POLEARM,12,0,0,0,0,0,0,0,0,0,0,0,10,65,100,376,0,0,0,0,0,,2d5,0,0,0,0,0,0,5,15,-2,2,10/1,SHOW_MODS,,,##### Polearms #####
59,59,ビークド・アックス,,& Beaked Axe~,,/,s,HAND,POLEARM,10,0,0,0,0,0,0,0,0,0,0,0,15,55,100,408,0,0,0,0,0,,2d6,0,0,0,0,0,0,5,15,-2,2,15/1,SHOW_MODS,木製の柄に、背が烏のクチバシを模した突起になった形の幅が狭い斧が付いている。,"A narrow axe head opposed by a crow's beak, mounted on an oaken shaft.",
60,60,グレイブ,,& Glaive~,,/,s,HAND,POLEARM,13,0,0,0,0,0,0,0,0,0,0,0,20,60,100,363,0,0,0,0,0,,2d6,0,0,0,0,0,0,5,15,-2,2,20/1,SHOW_MODS|RIDING,2.5メートル程の補強された木製の棒の先端に大きなナイフの刃が真っ直に付いている。切り裂く事も付き刺す事もできる。,"A reinforced wooden pole eight feet long, topped by a massive knife blade that can can be used to thrust or chop.",
61,61,ハルベルト,,& Halberd~,,/,s,HAND,POLEARM,15,0,0,0,0,0,0,0,0,0,0,0,25,85,100,430,0,0,0,0,0,,3d5,0,0,0,0,0,0,5,15,-2,2,25/1,SHOW_MODS,長い竿に重い斧の刃とその反対側にスパイクが付き、さらに竿の先端に付き刺す為の穂先が付いている。最も完成されたタイプの竿状武器である。,"The most successful of the polearms, the halberd has a long haft mounted with a heavy axe blade and opposing spike, and topped by a thrusting spine.",
62,62,オウル・パイク,,& Awl-Pike~,,/,s,HAND,POLEARM,4,0,0,0,0,0,0,0,0,0,0,0,10,35,100,340,0,0,0,0,0,,1d8,0,0,0,0,0,0,5,15,-2,2,10/1,SHOW_MODS,,,
63,63,パイク,,& Pike~,,/,s,HAND,POLEARM,8,0,0,0,0,0,0,0,0,0,0,0,15,75,100,358,0,0,0,0,0,,2d5,0,0,0,0,0,0,5,15,-2,2,15/1,SHOW_MODS,補強された柄に鉄の穂先が付いた、非常に長く重い槍だ。,"A long, heavy spear with an iron head and reinforced shaft.",
64,64,スピア,,& Spear~,,/,s,HAND,POLEARM,2,0,0,0,0,0,0,0,0,0,0,0,5,25,100,36,0,0,0,0,0,,1d6,0,0,0,0,0,0,5,15,-2,2,5/1,SHOW_MODS|RIDING,最も基本的な竿状武器だ。軽く長い竿の先に尖った両刃の穂先が付いていて、突き刺すのに適している。,"The basic polearm, with a double-edged knife mounted on a light shaft.  This weapon can be thrown effectively.",
65,65,トライデント,,& Trident~,,/,y,HAND,POLEARM,5,0,0,0,0,0,0,0,0,0,0,0,5,55,100,120,0,0,0,0,0,,1d8,0,0,0,0,0,0,5,15,-2,2,5/1,SHOW_MODS|RIDING,三又の槍で、元来は魚を捕るのに用いられていた。,"A three-pronged spear, originally for catching fish.",
66,66,ランス,,& Lance~,,/,s,HAND,POLEARM,20,0,0,0,0,0,0,0,0,0,0,0,10,120,100,230,0,0,0,0,0,,2d8,0,0,0,0,0,0,5,15,-2,2,10/1,SHOW_MODS|RIDING,大きく長い円錐形の穂先を持った槍だ。馬上で構えて突撃する為に作られている。,,
