ID,TAG,NAME,E_NAME,SYM,COL,CAMP,NUM,RACE1,RACE2,SEX,CLASS,PATRON,CHARA,RELM1,RELM2,LEV,RARE,SPELL,EXP,N_EXP,N_MIN,AGE,SC,WEALTH,FATHER,MOTHER,DV,SP,VIS,AC,EV,VO,ALERT,STR,INT,WIS,DEX,CON,CHA,BONUS,M_HB,M_HM,M_WB,M_WM,F_HB,F_HM,F_WB,F_WM,HAND,RING,AMULET,BODY,OUTER,HEAD,ARMS,FEET,TAIL,SP_MELEE,BATTLE,UNDERLING,ARTIFACT,FLAG,AUTHORITY,DESCRIPTION,E_DESCRIPTION,COMMENT,,,,
10,10,浮浪者,Hippie,t,g,0,-1,VARIABLE,VARIABLE,VARIABLE,COMMONER,NONE,ORDINARY,NONE,NONE,0,1,50,0,0,0,0,1,200,NONE,NONE,-1,0,6,1,0,0,0,8,8,8,8,8,8,5,155,15,390,2,155,15,390,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,DROOL,,,WILD_TOWN|WILD_ONLY|RAND_25|EAT_LOSE_CHR|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|FORCE_LESSER,,"
醜い奴等だが、一番の特徴はその醜さではない。",Ugly doesn't begin to describe them.,"http://www.hobo.org を参照。日本人にはよく分からない。
D'ang#
上のは2011年現在消滅、最近のWikipediaにホーボーの解説が出ている。
http://ja.wikipedia.org/wiki/%E3%83%9B%E3%83%BC%E3%83%9C%E3%83%BC
個人的意向から英訳をHippieに変えた。",,,,
11,11,わめくキチガイ,Raving lunatic,t,G,0,-1,VARIABLE,VARIABLE,VARIABLE,COMMONER,NONE,ORDINARY,NONE,NONE,0,1,50,0,0,0,0,1,200,NONE,NONE,-1,8,6,1,0,0,0,11,4,4,8,11,4,5,155,15,420,2,152,15,390,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,DROOL,,,WILD_TOWN|WILD_ONLY|RAND_25|EAT_LOSE_WIS|TAKE_ITEM|FORCE_LESSER,,よだれを垂らして楽しそうにしているが、それ以上の何を期待するのだろうか？,"Drooling and comical, but then, what do you expect? ",JZ#,,,,
12,12,乞食,Beggar,t,U,0,-1,VARIABLE,VARIABLE,VARIABLE,COMMONER,NONE,ORDINARY,NONE,NONE,0,1,50,0,10,14,0,1,200,NONE,NONE,-1,0,10,1,0,0,40,8,7,9,8,11,8,5,153,15,400,2,153,15,400,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BEG,,,RAND_25|WILD_TOWN|WILD_ONLY|TAKE_ITEM|OPEN_DOOR|FORCE_LESSER,,"
彼らを見ると、どうしても哀れだという思いを禁じ得ない。",You just can't help feeling sorry for them.,"JO#
D'ang#
名称を短縮",,,,
13,13,うろつく病人,Prowling leper,t,u,0,-1,VARIABLE,VARIABLE,VARIABLE,COMMONER,NONE,ORDINARY,NONE,NONE,0,1,50,0,0,0,0,1,200,NONE,NONE,-1,0,10,1,0,0,50,8,7,8,7,6,6,5,156,10,420,2,151,10,390,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BEG
TOUCH:DISEASE",,,RAND_25|WILD_TOWN|WILD_ONLY|TAKE_ITEM|OPEN_DOOR|EAT_LOSE_CON|EAT_POISONOUS|FORCE_LESSER,,彼に触るのは危険な気がする。,You feel it isn't safe to touch him. ,"J0#(コメント)
「ライ病」という言葉は問題がある、という指摘を受けた。
私は知識不足でそのことに関しては判断しかねるが、気になる人がいるのならあえて、「ライ病」とする必要もないであろうと思い「病人」にした。
J0# * leper = ライ病患者
D'ang#
名称を短縮、上のコメントについては「ライ病」と症状を固定するよりは所謂「業病」位の意味に意訳する位が、より社会的扱いを顕著にする点では良かったかも知れない。",,,,
14,14,闇市の仕入れ人,Agent of black market,t,D,0,-1,VARIABLE,VARIABLE,VARIABLE,COMMONER,NONE,ORDINARY,NONE,NONE,0,1,50,0,10,44,0,1,200,NONE,NONE,-1,0,10,8,0,0,99,12,9,9,11,11,10,5,158,10,470,2,152,10,400,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d6
TOUCH:EAT_ITEM",,,WILD_TOWN|WILD_SWAMP|WILD_WOOD|WILD_GRASS|WILD_MOUNTAIN|WILD_ONLY|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|FORCE_LESSER,,彼はブラックマーケットの商品を「拾って」来る。油断した冒険者から...,"He 'finds' new wares for the Black Market. From unwary adventurers... 
...","JZ#
D'ang# 名称を短縮",,,,
15,15,鬱陶しい酔っぱらい,"Singing, happy drunk",t,y,0,-1,VARIABLE,VARIABLE,VARIABLE,COMMONER,NONE,ORDINARY,NONE,NONE,0,1,50,0,0,0,0,1,200,NONE,NONE,-1,0,10,1,0,0,0,10,10,10,10,10,10,5,157,10,500,2,152,10,450,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BEG,,,HAS_LITE_1|RAND_50|WILD_TOWN|WILD_ONLY|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|FORCE_LESSER,,誰でも彼に会えば、酔いを覚ましてあげたいような気になる。,"He makes you glad to be sober.
",J0#,,,,
16,16,あてどない商人,Aimless merchant,t,o,0,-1,VARIABLE,VARIABLE,VARIABLE,COMMONER,NONE,ORDINARY,NONE,NONE,0,1,50,0,0,0,0,1,200,NONE,NONE,-1,0,10,1,0,0,255,9,8,7,8,8,11,5,160,10,530,2,152,10,470,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,HIT:HURT:1d5,,,HAS_LITE_1|RAND_50|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|WILD_TOWN|WILD_ONLY|FORCE_LESSER,,"町をふらつく典型的なクズで、財布をじゃらじゃらさせて、魅力のアミュレット
を買おうと町を探し回っている。","The typical ponce around town, with purse jingling, and looking for more 
amulets of adornment to buy.

",J0#,,,,
17,17,貧乏傭兵,Mean mercenary,t,R,0,-1,VARIABLE,VARIABLE,VARIABLE,WARRIOR,NONE,ORDINARY,NONE,NONE,0,1,50,0,8,43,0,1,200,NONE,NONE,-1,0,10,20,0,0,250,13,8,7,11,10,6,5,161,10,530,2,156,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,HIT:HURT:1d10,,,HAS_LITE_1|RAND_50|WILD_GRASS|WILD_TOWN|WILD_WOOD|WILD_ONLY|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|FORCE_LESSER,,仕事が見つからないことが彼をいっそう貧しくしている。,"No job is too low for him.
",J0#,,,,
18,18,戦傷兵,Battle scarred veteran,t,r,0,-1,VARIABLE,VARIABLE,VARIABLE,WARRIOR,NONE,ORDINARY,NONE,NONE,0,1,50,0,8,43,0,1,200,NONE,NONE,-1,0,10,30,0,0,250,14,8,8,9,12,5,5,163,10,480,2,155,10,440,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,HIT:HURT:2d6,,,HAS_LITE_1|RAND_50|WILD_TOWN|WILD_ONLY|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|FORCE_LESSER,,彼は見知らぬ人に優しく接したりはしない。,"He doesn't take to strangers kindly.
","J0# 
訳は都々目さんによる",,,,
19,19,鳩『ポッポ』,Hato Poppo,B,s,0,-1,WAREFOLK,WAREFOLK,0x02,TOURIST,NONE,PIOUS,NONE,NONE,0,4,50,24,0,0,60,95,200,NONE,NONE,-1,1,50,15,0,0,4,11,6,6,10,12,5,5,178,0,720,0,178,0,720,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,HIT:HURT:1d3,,,UNIQUE|CAN_SPEAK|FRIENDLY|WILD_TOWN|WILD_ONLY|OPEN_DOOR|BASH_DOOR|HAS_LITE_1|NO_CONF|NO_SLEEP|EMPTY_MIND,,,,"#D'ang
開発してる間にポッポ＞空缶＞…とめぐるましく。",,,,
20,20,グレイ・モルド,Grey mold,m,s,0,-1,MOLD,MOLD,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,1,1,50,5,6,76,0,0,200,NONE,NONE,-1,0,2,0,0,0,0,5,5,5,5,5,5,5,50,20,150,2,50,20,150,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"SPORE:HURT:1d6
SPORE:HURT:1d6",,,IM_POIS|NO_CONF|NO_SLEEP|FEARLESS,,小さい奇妙なカビだ。,"A small strange growth.
",J0#,,,,
21,21,大白蛇,Large white snake,J,w,0,-1,SNAKE,SNAKE,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,1,1,50,5,5,28,0,0,200,NONE,NONE,-1,-10,4,0,0,0,99,5,5,5,5,5,5,5,240,10,150,2,240,10,150,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:1d3
CRUSH:HURT:1d3",,,RAND_50|WILD_ALL|BASH_DOOR,,それは長さが 2.5 メートル近くもある。,"It is about eight feet long.
 2.5 ",J0#,,,,
22,22,点滅する点,Blinking dot,",",s,0,-1,ELEMENTAL,ELEMENTAL,0x00,NONE,NONE,ORDINARY,NONE,NONE,1,1,50,5,0,0,0,0,200,NONE,NONE,-1,0,2,0,0,0,0,5,5,5,5,5,5,5,40,0,150,0,40,0,150,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,SPORE:CONFUSE:1d6,,,NEVER_MOVE|STUPID|EMPTY_MIND|IM_POIS|EAT_CONF|NO_CONF|NO_SLEEP|FEARLESS|BLINK,,それはそこにいるのだろうか？いないのだろうか？,"Is it there or is it not? 
？？",JZ#,,,,
23,23,イモリ,Newt,R,y,0,-1,REPTILIA,REPTILIA,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,1,255,50,5,0,0,0,0,200,NONE,NONE,-1,0,8,0,0,0,30,5,5,5,5,5,5,5,23,2,10,0,23,2,10,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:1d7
BITE:HURT:1d7",,,WEIRD_MIND|CAN_SWIM|WILD_GRASS|WILD_WASTE|WILD_SHORE|WILD_SWAMP|WILD_MOUNTAIN,,小さな害のないトカゲだ。,"A small, harmless lizard.
",JZ#,,,,
24,24,巨大白ムカデ,Giant white centipede,c,w,0,-1,ICKY,ICKY,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,1,1,50,5,0,0,0,0,200,NONE,NONE,-1,0,7,0,0,0,40,5,5,5,5,5,5,5,140,10,150,2,140,10,150,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:1d5
STING:HURT:1d5",,,RAND_50|WEIRD_MIND|BASH_DOOR|WILD_ALL,,それは長さが 1.5 メートル近くもある肉食生物だ。,"It is about four feet long and carnivorous.
 1.5 ",J0#,,,,
25,25,白ベトベト,White icky thing,i,w,0,-1,ICKY,ICKY,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,1,1,50,5,7,41,0,0,200,NONE,NONE,-1,0,12,0,0,0,10,5,5,5,5,5,5,5,90,10,200,2,90,10,200,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,TOUCH:HURT:1d5,,,RAND_50|RAND_25|CAN_SWIM|WEIRD_MIND|EAT_CONF,,それはドロドロしてベトベトした小さなモンスターだ。,"It is a smallish, slimy, icky creature.
","J0# ベトベトという訳は結構気に入っている(^_^;
小林健一さんが日本語化したモリアをみたら「ネバネバ」だった(^_^;。",,,,
26,26,透明ベトベト,Clear icky thing,i,B,0,-1,ICKY,ICKY,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,2,1,50,10,7,41,0,0,200,NONE,NONE,-1,0,12,0,0,0,10,7,7,7,7,7,7,5,90,10,200,2,90,10,200,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,TOUCH:HURT:1d5,,,ATTR_CLEAR|CAN_SWIM|RAND_50|RAND_25|INVISIBLE|WEIRD_MIND|EAT_CONF,,それは汚らしいドロドロネバネバした小さな塊のようなモンスターだ。,"It is a smallish, slimy, icky, blobby creature.
",J0#,,,,
27,27,巨大ハツカネズミ,Giant white mouse,r,w,0,-1,RODENT,RODENT,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,1,1,50,5,5,86,0,0,200,NONE,NONE,-1,0,8,0,0,0,20,5,5,5,5,5,5,5,50,10,120,2,50,10,120,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d5,,,RAND_50|WILD_GRASS|MULTIPLY|CAN_SWIM|EAT_CONF,,それは長い歯を持った 全長50cm近い大きさのネズミだ。,"It is about three feet long with large teeth.
 1 ",J0#,,,,
28,28,土ヘビ,Large brown snake,J,u,0,-1,SNAKE,SNAKE,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,1,1,50,5,6,59,0,0,200,NONE,NONE,-1,-10,4,0,0,0,99,5,5,5,5,5,5,5,245,10,150,2,245,10,150,2,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:1d7
CRUSH:HURT:1d9",,,RAND_25|CAN_SWIM|BASH_DOOR,,それは長さが 2.5 メートル近くもある。,"It is about eight feet long.
 2.5 ",J0#,,,,
29,29,指輪所持者『フロド』,"Frodo, Ring-bearer",h,w,0,-1,HOBBIT,HOBBIT,0x02,COMMONER,1090,PATIENT,NONE,NONE,15,4,50,398,0,0,34,67,200,NONE,NONE,0,0,40,10,0,0,3,14,14,14,14,14,14,5,99,0,230,0,99,0,230,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:4d5
HIT:HURT:4d5
HIT:HURT:4d5",,ART:14:100% 0:23:8:100%,UNIQUE|CAN_SPEAK|FRIENDLY|OPEN_DOOR|BASH_DOOR|HAS_LITE_1|NO_CONF|NO_SLEEP,,このホビットの若人は何やら多大な使命を帯びていると周囲から吹聴されているが、実際どんなものなのかよく分からない。,Dammy,"D'ang#
殺っておしまいなさい",,,,
30,30,コボルド,Kobold,k,g,0,-1,KOBOLD,KOBOLD,VARIABLE,SOLDIER,NONE,ORDINARY,NONE,NONE,3,1,50,15,14,102,0,0,200,NONE,NONE,-1,0,20,16,0,0,10,10,10,10,10,10,10,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d8
HIT:HURT:1d8",,,WILD_ALL|OPEN_DOOR|BASH_DOOR|IM_POIS|EAT_POISONOUS,,それは犬のような頭をした、小さな人間型のモンスターだ。,"It is a small, dog-headed humanoid.
",J0#,,,,
31,31,白イモムシの大群,White worm mass,w,w,0,-1,WORM,WORM,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,1,1,50,5,5,58,0,0,200,NONE,NONE,-1,-10,7,0,0,0,10,5,5,5,5,5,5,5,1,0,10,0,1,0,10,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,CRAWL:POISON:1d5,,,RAND_50|RAND_25|CAN_SWIM|STUPID|WEIRD_MIND|MULTIPLY|IM_POIS|HURT_LITE|FEARLESS,,それはベトベトしたイモムシの大群だ。,"It is a large slimy mass of worms.
",J0#,,,,
32,32,フローティング・アイ,Floating eye,e,b,0,-1,FLOATING_EYE,FLOATING_EYE,0x00,NONE,NONE,ORDINARY,NONE,NONE,1,1,50,5,0,0,0,0,200,NONE,NONE,-1,0,2,0,0,0,10,5,5,5,5,5,5,5,40,2,100,1,40,2,100,1,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,GAZE:PARALYZE,,,NEVER_MOVE|CAN_FLY|HURT_LITE|FEARLESS|EAT_SLEEP,,地面から数十センチ上に浮かんでいる体を持たない目玉だ。,"A disembodied eye, floating a few feet above the ground.
",J0#,,,,
33,33,岩トカゲ,Rock lizard,R,U,0,-1,REPTILIA,REPTILIA,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,1,255,50,5,20,82,0,0,200,NONE,NONE,-1,0,20,0,0,0,15,5,5,5,5,5,5,5,60,2,200,1,60,2,200,1,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d3,,,CAN_SWIM|WILD_MOUNTAIN,,それは小さなトカゲで固い皮を持っている。,"It is a small lizard with a hardened hide.
",J0#,,,,
34,34,グリッドバグ,Grid bug,I,v,0,-1,INSECT,INSECT,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,1,3,50,5,0,0,0,0,200,NONE,NONE,-1,0,10,0,0,0,10,5,5,5,5,5,5,5,20,2,70,1,20,2,70,1,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:ELEC:1d7,,,RAND_25|FRIENDS|CAN_FLY|STUPID|WEIRD_MIND|SELF_LITE_1|FEARLESS|IM_ELEC,,奇妙な、電気的な虫だ。,"A strange electric bug. 
",JZ#,,,,
35,35,ジャッカル,Jackal,C,U,0,-1,CANINE,CANINE,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,1,1,50,5,40,196,0,0,200,NONE,NONE,-1,0,10,0,0,0,10,5,5,5,5,5,5,5,60,2,140,1,60,2,140,1,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d3,,,FRIENDS|WILD_WOOD|WILD_GRASS,,それはやかましくうなる犬型の動物で、群れていると危険だ。,"It is a yapping snarling dog, dangerous when in a pack.
",J0#,,,,
36,36,兵隊アリ,Soldier ant,a,u,0,-1,ANT,ANT,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,1,1,50,5,5,49,0,1,200,NONE,NONE,-1,0,10,0,0,0,10,5,5,5,5,5,5,5,80,13,240,10,80,13,240,10,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d5,,,WEIRD_MIND|BASH_DOOR|WILD_GRASS|EAT_POISONOUS,,強いアゴを持った大きなアリだ。,"A large ant with powerful mandibles.
",J0#,,,,
37,37,フルーツ・コウモリ,Fruit bat,b,v,0,-1,BAT,BAT,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,1,1,50,5,20,114,0,0,200,NONE,NONE,-1,10,20,0,0,0,10,5,5,5,5,5,5,5,35,2,60,1,35,2,60,1,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d3,,,CAN_FLY|WILD_WOOD|WILD_SWAMP,,動きの素早い厄介者だ。,"A fast-moving pest.
",J0#,,,,
38,38,蟲の大群,Insect swarm,I,u,0,-1,INSECT,INSECT,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,1,1,50,5,0,0,0,0,200,NONE,NONE,-1,10,20,0,0,0,10,5,5,5,5,5,5,5,40,2,100,1,40,2,100,1,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:1d5
STING:HURT:1d5",,,WEIRD_MIND|CAN_FLY|RAND_25|WILD_GRASS|WILD_WOOD|WILD_SWAMP,,"その虫は単体ならば特に害はないだろう、しかし
ここには大勢の大群がいる！","A lone insect may be harmless, but there's a whole swarm of 
them here!

！","JZ#
JZ#(コメント)訳は 紫月閑丸さん",,,,
39,39,グレーター・ヘル=ビースト,Greater Hell-Beast,U,s,0,-1,DEMON,DEMON,VARIABLE,NONE,NONE,LAZY,NONE,NONE,1,15,50,5600,0,0,0,0,200,NONE,NONE,-1,5,10,300,0,0,99,26,24,23,22,25,24,5,480,2,17000,1,480,2,17000,1,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"GAZE
GAZE
CRUSH",,ART:192:100%,RES_ALL|KILL_WALL|CAN_SWIM|BLUFF|ACTIVE_TELEPORT|BLINK|TELE_AWAY,,この不浄な災いはあなたを押し潰すだろう。いまのうちに逃げろ！,"This unholy abomination will crush you. Flee while you can! 
！",JZ#,,,,
