"ID","NAME","E_NAME","SYM","COL","RACE1","RACE2","SEX","CLASS","PATRON","CHARA","RELM1","RELM2","LEV","RARE","Z","EXP","N_EXP","N_MIN","AGE","SC","FATHER","MOTHER","DV","SP","VIS","AC","ALERT","STR","INT","WIS","DEX","CON","CHA","M_HB","M_HM","M_WB","M_WM","F_HB","F_HM","F_WB","F_WM","BATTLE","UNDERLING","ARTIFACT","FLAG","ACTION","AUTHORITY","DESCRIPTION","E_DESCRIPTION","COMMENT",,,,,
14,"闇市の仕入れ人","Agent of black market","t","D","HUMAN","HUMAN","0x01","TOURIST","NONE","NONE",0,0,0,1,0,0,10,44,0,1,"NONE","NONE",-1,110,10,8,99,10,10,10,10,10,10,158,10,47,2,152,10,40,2,"HIT:HURT:1d6
TOUCH:EAT_ITEM",,,"SEX_F25|DROP_CORPSE|DROP_SKELETON|DROP_60|WILD_TOWN|WILD_SWAMP|WILD_WOOD|WILD_GRASS|WILD_MOUNTAIN|WILD_ONLY|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|FORCE_LESSER_EGO",,,"彼はブラックマーケットの商品を「拾って」来る。油断した冒険者から...","He 'finds' new wares for the Black Market. From unwary adventurers... 
...","JZ#",,,,,
15,"鬱陶しい酔っぱらい","Singing, happy drunk","t","y","HUMAN","HUMAN","0x01","TOURIST","NONE","NONE",0,0,0,1,0,0,0,0,0,1,"NONE","NONE",-1,110,10,1,0,10,10,10,10,10,10,157,10,50,2,152,10,45,2,"BEG",,,"SEX_F10|HAS_LITE_1|RAND_50|DROP_SKELETON|DROP_CORPSE|ONLY_GOLD|DROP_60|WILD_TOWN|WILD_ONLY|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|FORCE_LESSER_EGO",,,"誰でも彼に会えば、酔いを覚ましてあげたいような気になる。","He makes you glad to be sober.
","J0#",,,,,
16,"あてどない商人","Aimless merchant","t","o","HUMAN","HUMAN","0x01","TOURIST","NONE","NONE",0,0,0,1,0,0,0,0,0,1,"NONE","NONE",-1,110,10,1,255,10,10,10,10,10,10,160,10,53,2,152,10,47,2,"HIT:HURT:1d5",,,"SEX_F10|HAS_LITE_1|RAND_50|ONLY_GOLD|DROP_60|DROP_SKELETON|DROP_CORPSE|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|WILD_TOWN|WILD_ONLY|FORCE_LESSER_EGO",,,"町をふらつく典型的なクズで、財布をじゃらじゃらさせて、魅力のアミュレット
を買おうと町を探し回っている。","The typical ponce around town, with purse jingling, and looking for more 
amulets of adornment to buy.

","J0#",,,,,
17,"貧乏傭兵","Mean mercenary","t","R","HUMAN","HUMAN","0x01","WARRIOR","NONE","NONE",0,0,0,1,0,0,8,43,0,1,"NONE","NONE",-1,110,10,20,250,10,10,10,10,10,10,161,10,53,2,156,10,44,2,"HIT:HURT:1d10",,,"SEX_F3|DROP_SKELETON|DROP_CORPSE|HAS_LITE_1|RAND_50|DROP_90|WILD_GRASS|WILD_TOWN|WILD_WOOD|WILD_ONLY|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|FORCE_LESSER_EGO",,,"仕事が見つからないことが彼をいっそう貧しくしている。","No job is too low for him.
","J0#",,,,,
18,"戦傷兵","Battle scarred veteran","t","r","HUMAN","HUMAN","0x01","WARRIOR","NONE","NONE",0,0,0,1,0,0,8,43,0,1,"NONE","NONE",-1,110,10,30,250,10,10,10,10,10,10,163,10,48,2,155,10,44,2,"HIT:HURT:2d6",,,"SEX_F3|DROP_SKELETON|DROP_CORPSE|HAS_LITE_1|RAND_50|DROP_90|WILD_TOWN|WILD_ONLY|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|FORCE_LESSER_EGO",,,"彼は見知らぬ人に優しく接したりはしない。","He doesn't take to strangers kindly.
","J0# 
訳は都々目さんによる",,,,,
19,"鳩『ポッポ』","Hato Poppo","B","s","WAREFOLK","WAREFOLK","0x02","TOURIST","NONE",3,0,0,0,4,0,0,0,0,0,95,"NONE","NONE",-1,111,50,15,4,10,10,10,10,10,10,178,0,72,0,178,0,72,0,"HIT:HURT:1d3",,,"UNIQUE|CAN_SPEAK|FRIENDLY|FORCE_MAXHP|DROP_CORPSE|WILD_TOWN|WILD_ONLY|ONLY_ITEM|DROP_90|DROP_GOOD|OPEN_DOOR|BASH_DOOR|HAS_LITE_1|NO_CONF|NO_SLEEP|EMPTY_MIND",,,,,"#D'ang
開発してる間にポッポ＞空缶＞…とめぐるましく。",,,,,
20,"グレイ・モルド","Grey mold","m","s","MOLD","MOLD","0x01","NONE","NONE","NONE",0,0,1,1,0,6,6,76,0,0,"NONE","NONE",-1,110,2,1,0,10,10,10,10,10,10,90,20,30,2,90,20,30,2,"SPORE:HURT:1d6
SPORE:HURT:1d6",,,"NEVER_MOVE|STUPID|EMPTY_MIND|IM_POIS|DROP_CORPSE|NO_CONF|NO_SLEEP|NO_FEAR",,,"小さい奇妙なカビだ。","A small strange growth.
","J0#",,,,,
21,"大白蛇","Large white snake","J","w","SNAKE","SNAKE","0x01","NONE","NONE","NONE",0,0,1,1,0,4,5,28,0,0,"NONE","NONE",-1,100,4,30,99,10,10,10,10,10,10,240,10,50,2,240,10,50,2,"BITE:HURT:1d3
CRUSH:HURT:1d3",,,"RAND_50|WILD_ALL|BASH_DOOR|DROP_SKELETON|DROP_CORPSE",,,"それは長さが 2.5 メートル近くもある。","It is about eight feet long.
 2.5 ","J0#",,,,,
22,"点滅する点","Blinking dot",",","s","ELEMENTAL","ELEMENTAL","0x01","NONE","NONE","NONE",0,0,1,1,0,3,0,0,0,0,"NONE","NONE",-1,110,2,1,0,10,10,10,10,10,10,100,0,100,0,100,0,100,0,"SPORE:CONFUSE:1d6",,,"NEVER_MOVE|STUPID|EMPTY_MIND|IM_POIS|DROP_CORPSE|EAT_CONF|NO_CONF|NO_SLEEP|NO_FEAR","1_IN_2|BLINK",,"それはそこにいるのだろうか？いないのだろうか？","Is it there or is it not? 
？？","JZ#",,,,,
23,"イモリ","Newt","R","y","REPTILIA","REPTILIA","0x01","NONE","NONE","NONE",0,0,1,1,0,4,0,0,0,0,"NONE","NONE",-1,110,8,12,30,10,10,10,10,10,10,23,2,1,0,23,2,1,0,"BITE:HURT:1d7
BITE:HURT:1d7",,,"WEIRD_MIND|CAN_SWIM|DROP_CORPSE|WILD_GRASS|WILD_WASTE|WILD_SHORE|WILD_SWAMP|WILD_MOUNTAIN",,,"小さな害のないトカゲだ。","A small, harmless lizard.
","JZ#",,,,,
24,"巨大白ムカデ","Giant white centipede","c","w","ICKY","ICKY","0x01","NONE","NONE","NONE",0,0,1,1,0,4,0,0,0,0,"NONE","NONE",-1,110,7,10,40,10,10,10,10,10,10,160,10,20,2,160,10,20,2,"BITE:HURT:1d5
STING:HURT:1d5",,,"RAND_50|DROP_SKELETON|WEIRD_MIND|BASH_DOOR|WILD_ALL",,,"それは長さが 1.5 メートル近くもある肉食生物だ。","It is about four feet long and carnivorous.
 1.5 ","J0#",,,,,
25,"白ベトベト","White icky thing","i","w","ICKY","ICKY","0x01","NONE","NONE","NONE",0,0,1,1,0,3,7,41,0,0,"NONE","NONE",-1,110,12,7,10,10,10,10,10,10,10,90,10,20,2,90,10,20,2,"TOUCH:HURT:1d5",,,"RAND_50|RAND_25|CAN_SWIM|WEIRD_MIND|DROP_CORPSE|EAT_CONF",,,"それはドロドロしてベトベトした小さなモンスターだ。","It is a smallish, slimy, icky creature.
","J0# ベトベトという訳は結構気に入っている(^_^;
小林健一さんが日本語化したモリアをみたら「ネバネバ」だった(^_^;。",,,,,
26,"透明ベトベト","Clear icky thing","i","B","ICKY","ICKY","0x01","NONE","NONE","NONE",0,0,2,1,0,3,7,41,0,0,"NONE","NONE",-1,110,12,6,10,10,10,10,10,10,10,90,10,20,2,90,10,20,2,"TOUCH:HURT:1d5",,,"ATTR_CLEAR|CAN_SWIM|RAND_50|RAND_25|INVISIBLE|WEIRD_MIND|DROP_CORPSE|EAT_CONF",,,"それは汚らしいドロドロネバネバした小さな塊のようなモンスターだ。","It is a smallish, slimy, icky, blobby creature.
","J0#",,,,,
27,"巨大ハツカネズミ","Giant white mouse","r","w","RODENT","RODENT","0x01","NONE","NONE","NONE",0,0,1,1,0,3,5,86,0,0,"NONE","NONE",-1,110,8,4,20,10,10,10,10,10,10,92,10,20,2,92,10,20,2,"BITE:HURT:1d5",,,"RAND_50|WILD_GRASS|MULTIPLY|CAN_SWIM|DROP_CORPSE|EAT_CONF",,,"それは長い歯を持った 1 メートル近い大きさのネズミだ。","It is about three feet long with large teeth.
 1 ","J0#",,,,,
28,"土ヘビ","Large brown snake","J","u","SNAKE","SNAKE","0x01","NONE","NONE","NONE",0,0,1,1,0,6,6,59,0,0,"NONE","NONE",-1,100,4,35,99,10,10,10,10,10,10,240,10,50,2,240,10,50,2,"BITE:HURT:1d7
CRUSH:HURT:1d9",,,"RAND_25|CAN_SWIM|BASH_DOOR|DROP_SKELETON|DROP_CORPSE",,,"それは長さが 2.5 メートル近くもある。","It is about eight feet long.
 2.5 ","J0#",,,,,
29,"指輪所持者『フロド』","Frodo, Ring-bearer","h","w","HOBBIT","HOBBIT","0x02","ROGUE","NONE",10,0,0,15,4,0,0,0,0,0,0,"NONE","NONE",0,110,40,10,3,14,14,14,14,14,14,99,0,23,0,99,0,23,0,"HIT:HURT:4d5
HIT:HURT:4d5
HIT:HURT:4d5",,"14:0:0:100
0:23:8:100","UNIQUE|CAN_SPEAK|DROP_CORPSE|FRIENDLY|FORCE_MAXHP|ONLY_ITEM|DROP_90|DROP_GOOD|DROP_GREAT|OPEN_DOOR|BASH_DOOR|HAS_LITE_1|NO_CONF|NO_SLEEP",,,"このホビットの若人は何やら多大な使命を帯びていると周囲から吹聴されているが、実際どんなものなのかよく分からない。","Dammy","D'ang#
殺っておしまいなさい",,,,,
30,"コボルド","Kobold","k","g","KOBOLD","KOBOLD","0x01","NONE","NONE","NONE",0,0,3,1,0,5,14,102,0,0,"NONE","NONE",-1,110,20,16,10,10,10,10,10,10,10,165,10,55,3,165,10,55,3,"HIT:HURT:1d8
HIT:HURT:1d8",,,"DROP_60|WILD_ALL|OPEN_DOOR|BASH_DOOR|DROP_SKELETON|DROP_CORPSE|IM_POIS|EAT_POISONOUS",,,"それは犬のような頭をした、小さな人間型のモンスターだ。","It is a small, dog-headed humanoid.
","J0#",,,,,
31,"白イモムシの大群","White worm mass","w","w","WORM","WORM","0x01","NONE","NONE","NONE",0,0,1,1,0,4,5,58,0,0,"NONE","NONE",-1,100,7,1,10,10,10,10,10,10,10,1,0,1,0,1,0,1,0,"CRAWL:POISON:1d5",,,"RAND_50|RAND_25|CAN_SWIM|STUPID|WEIRD_MIND|MULTIPLY|IM_POIS|HURT_LITE|NO_FEAR",,,"それはベトベトしたイモムシの大群だ。","It is a large slimy mass of worms.
","J0#",,,,,
32,"フローティング・アイ","Floating eye","e","b","FLOATING_EYE","FLOATING_EYE","0x01","NONE","NONE","NONE",0,0,1,1,0,3,0,0,0,0,"NONE","NONE",-1,110,2,6,10,10,10,10,10,10,10,40,2,10,1,40,2,10,1,"GAZE:PARALYZE",,,"NEVER_MOVE|CAN_FLY|DROP_CORPSE|HURT_LITE|NO_FEAR|EAT_SLEEP",,,"地面から数十センチ上に浮かんでいる体を持たない目玉だ。","A disembodied eye, floating a few feet above the ground.
","J0#",,,,,
33,"岩トカゲ","Rock lizard","R","U","REPTILIA","REPTILIA","0x01","NONE","NONE","NONE",0,0,1,1,0,4,20,82,0,0,"NONE","NONE",-1,110,20,4,15,10,10,10,10,10,10,60,2,20,1,60,2,20,1,"BITE:HURT:1d3",,,"CAN_SWIM|WILD_MOUNTAIN|DROP_CORPSE",,,"それは小さなトカゲで固い皮を持っている。","It is a small lizard with a hardened hide.
","J0#",,,,,
34,"グリッドバグ","Grid bug","I","v","INSECT","INSECT","0x01","NONE","NONE","NONE",0,0,1,3,0,4,0,0,0,0,"NONE","NONE",-1,110,10,2,10,10,10,10,10,10,10,20,2,7,1,20,2,7,1,"BITE:ELEC:1d7",,,"RAND_25|FRIENDS|CAN_FLY|STUPID|WEIRD_MIND|SELF_LITE_1|NO_FEAR|IM_ELEC",,,"奇妙な、電気的な虫だ。","A strange electric bug. 
","JZ#",,,,,
35,"ジャッカル","Jackal","C","U","CANINE","CANINE","0x01","NONE","NONE","NONE",0,0,1,1,0,3,40,196,0,0,"NONE","NONE",-1,110,10,3,10,10,10,10,10,10,10,60,2,14,1,60,2,14,1,"BITE:HURT:1d3",,,"FRIENDS|WILD_WOOD|WILD_GRASS|DROP_SKELETON|DROP_CORPSE",,,"それはやかましくうなる犬型の動物で、群れていると危険だ。","It is a yapping snarling dog, dangerous when in a pack.
","J0#",,,,,
36,"兵隊アリ","Soldier ant","a","u","ANT","ANT","0x01","NONE","NONE","NONE",0,0,1,1,0,6,5,49,0,1,"NONE","NONE",-1,110,10,3,10,10,10,10,10,10,10,80,13,24,10,80,13,24,10,"BITE:HURT:1d5",,,"WEIRD_MIND|BASH_DOOR|DROP_CORPSE|WILD_GRASS|EAT_POISONOUS",,,"強いアゴを持った大きなアリだ。","A large ant with powerful mandibles.
","J0#",,,,,
37,"フルーツ・コウモリ","Fruit bat","b","v","BAT","BAT","0x01","NONE","NONE","NONE",0,0,1,1,0,3,20,114,0,0,"NONE","NONE",-1,120,20,3,10,10,10,10,10,10,10,35,2,6,1,35,2,6,1,"BITE:HURT:1d3",,,"CAN_FLY|WILD_WOOD|WILD_SWAMP|DROP_CORPSE",,,"動きの素早い厄介者だ。","A fast-moving pest.
","J0#",,,,,
38,"蟲の大群","Insect swarm","I","u","INSECT","INSECT","0x01","NONE","NONE","NONE",0,0,1,1,0,3,0,0,0,0,"NONE","NONE",-1,120,20,4,10,10,10,10,10,10,10,40,2,10,1,40,2,10,1,"BITE:HURT:1d5
STING:HURT:1d5",,,"WEIRD_MIND|CAN_FLY|RAND_25|WILD_GRASS|WILD_WOOD|WILD_SWAMP",,,"その虫は単体ならば特に害はないだろう、しかし
ここには大勢の大群がいる！","A lone insect may be harmless, but there's a whole swarm of 
them here!

！","JZ#
JZ#(コメント)訳は 紫月閑丸さん",,,,,
39,"グレーター・ヘル=ビースト","Greater Hell-Beast","U","s","DEMON","DEMON","0x01","WARRIOR","NONE",11,0,0,1,15,0,250,0,0,0,0,"NONE","NONE",-1,115,10,300,99,30,30,30,30,30,30,480,2,1700,1,480,2,1700,1,"GAZE
GAZE
CRUSH",,"192:0:0:100","RES_ALL|KILL_WALL|FORCE_MAXHP|CAN_SWIM|DROP_CORPSE","1_IN_9|TPORT|BLINK|TELE_AWAY",,"この不浄な災いはあなたを押し潰すだろう。いまのうちに逃げろ！","This unholy abomination will crush you. Flee while you can! 
！","JZ#",,,,,
40,"絶叫おばけキノコ","Shrieker mushroom patch",",","R","FUNGUS","FUNGUS","0x01","NONE","NONE","NONE",0,0,2,1,0,3,0,0,0,0,"NONE","NONE",-1,110,4,1,0,10,10,10,10,10,10,100,30,100,3,100,30,100,3,,,,"FORCE_SLEEP|NEVER_MOVE|NEVER_BLOW|STUPID|EMPTY_MIND|IM_POIS|WILD_SWAMP|DROP_CORPSE|NO_CONF|NO_SLEEP|NO_FEAR|VARIABLE_SIZE_EGO","1_IN_4|SHRIEK",,"うーん！それはとてもおいしそうに見える。","Yum!  These look quite tasty.
！","J0#",,,,,
41,"号泣ベトベト","Blubbering icky thing","i","g","ICKY","ICKY","0x01","NONE","NONE","NONE",0,0,2,1,0,8,12,103,0,0,"NONE","NONE",-1,110,14,4,10,10,10,10,10,10,10,70,2,20,1,70,2,20,1,"CRAWL:POISON:1d10
CRAWL:EAT_FOOD
DROOL
DROOL",,,"RAND_50|DROP_90|CAN_SWIM|DROP_CORPSE|WEIRD_MIND|TAKE_ITEM|KILL_BODY|EAT_CONF|IM_POIS",,,"それはドロドロしてベトベトして貪欲な小さいモンスターだ。","It is a smallish, slimy, icky, hungry creature.
","J0#",,,,,
42,"銀緑ムカデ","Metallic green centipede","c","G","ICKY","ICKY","0x01","NONE","NONE","NONE",0,0,2,1,0,4,6,67,0,0,"NONE","NONE",-1,120,5,4,10,10,10,10,10,10,10,150,2,30,1,150,2,30,1,"CRAWL:HURT:1d3",,,"RAND_50|WILD_ALL|DROP_SKELETON|WEIRD_MIND|BASH_DOOR",,,"それは長さが 1.5 メートル近くもある肉食生物だ。","It is about four feet long and carnivorous.
 1.5 ","J0#
J0#
J0#(コメント)
J0# 銀～という色のあらわし方はあまり気に入っていない。
J0#",,,,,
43,"見習戦士","Novice warrior","p","U","HUMAN","HUMAN","0x01","WARRIOR","NONE","NONE",0,0,2,1,0,8,70,216,0,0,"NONE","NONE",-1,110,20,0,5,10,10,10,10,10,10,165,20,60,3,165,20,60,3,"HIT:HURT:1d8
HIT:HURT:1d8
HIT:HURT:1d7",,,"HAS_LITE_1|DROP_60|WILD_ALL|DROP_SKELETON|DROP_CORPSE|OPEN_DOOR|BASH_DOOR|EAT_GIVE_STR|EAT_LOSE_INT|EAT_LOSE_WIS|",,,"彼はまだまだ経験は浅いようだが、手強い相手だ。","He looks inexperienced but tough.
","J0#",,,,,
44,"見習盗賊","Novice rogue","p","D","HUMAN","HUMAN","0x01","ROGUE","NONE","NONE",0,0,2,1,0,8,50,150,0,0,"NONE","NONE",-1,110,20,0,5,10,10,10,10,10,10,165,20,60,3,165,20,60,3,"HIT:HURT:1d5
HIT:HURT:1d5
TOUCH:EAT_GOLD",,,"DROP_60|DROP_SKELETON|DROP_CORPSE|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|WILD_ALL|EAT_GIVE_DEX|EAT_LOSE_WIS|EAT_LOSE_CHR|",,,"彼は多少は策略をめぐらす。","A rather shifty individual.
","J0#",,,,,
45,"見習プリースト","Novice priest","p","B","HUMAN","HUMAN","0x01","PRIEST","NONE","NONE",0,0,2,1,0,9,100,225,0,0,"NONE","NONE",-1,110,20,0,10,10,10,10,10,10,10,165,20,60,3,165,20,60,3,"HIT:HURT:1d9",,,"HAS_LITE_1|FORCE_SLEEP|WILD_ALL|DROP_SKELETON|DROP_CORPSE|DROP_60|EAT_GIVE_WIS|EAT_LOSE_INT|EAT_LOSE_CON|OPEN_DOOR|BASH_DOOR|","1_IN_12|HEAL|SCARE|CAUSE_1",,"彼は自分の法衣のすそを踏んづけてはつまづいている。","He is tripping over his priestly robes.
","J0#",,,,,
