"ID","NAME","E_NAME","SYM","COL","RACE","CLASS","PATRON","CHARA","RELM1","RELM2","LEV","RARE","Z","EXP","N_EXP","N_MIN","AGE","SC","DV","SP","VIS","AC","ALERT","STR","INT","WIS","DEX","CON","CHA","M_HB","M_HM","M_WB","M_WM","F_HB","F_HM","F_WB","F_WM","BATTLE","UNDERLING","ARTIFACT","COMMENT","FLAG","ACTION","AUTHORITY","DESCRIPTION",,,,,,,
19,"鳩『ポッポ』","Hato Poppo","B","s",17,11,255,3,0,0,0,4,0,0,0,0,0,95,-1,111,50,15,4,10,10,10,10,10,10,178,0,72,0,178,0,72,0,"HIT:HURT:1d3",,,,"UNIQUE|MALE|ANIMAL|CAN_SPEAK|FRIENDLY|FORCE_MAXHP|DROP_CORPSE|WILD_TOWN|WILD_ONLY|ONLY_ITEM|DROP_90|DROP_GOOD|HUMAN|OPEN_DOOR|BASH_DOOR|HAS_LITE_1|NO_CONF|NO_SLEEP|EMPTY_MIND",,,,,,,,,,
20,"グレイ・モルド","Grey mold","m","s",85,255,255,255,0,0,1,1,0,6,6,76,0,0,-1,110,2,1,0,10,10,10,10,10,10,90,20,30,2,90,20,30,2,"SPORE:HURT:1d6
SPORE:HURT:1d6",,,"J0#","NEVER_MOVE|STUPID|EMPTY_MIND|IM_POIS|DROP_CORPSE|NO_CONF|NO_SLEEP|NO_FEAR",,,"$A small strange growth.
小さい奇妙なカビだ。",,,,,,,
21,"大白蛇","Large white snake","J","w",95,255,255,255,0,0,1,1,0,4,5,28,0,0,-1,100,4,30,99,10,10,10,10,10,10,240,10,50,2,240,10,50,2,"BITE:HURT:1d3
CRUSH:HURT:1d3",,,"J0#","RAND_50|WILD_ALL|BASH_DOOR|DROP_SKELETON|DROP_CORPSE|ANIMAL",,,"$It is about eight feet long.
それは長さが 2.5 メートル近くもある。",,,,,,,
22,"点滅する点","Blinking dot",",","s",93,255,255,255,0,0,1,1,0,3,0,0,0,0,-1,110,2,1,0,10,10,10,10,10,10,100,0,100,0,100,0,100,0,"SPORE:CONFUSE:1d6",,,"JZ#","NEVER_MOVE|STUPID|EMPTY_MIND|IM_POIS|DROP_CORPSE|EAT_CONF|NO_CONF|NO_SLEEP|NO_FEAR","1_IN_2|BLINK",,"$Is it there or is it not? 
それはそこにいるのだろうか？いないのだろうか？",,,,,,,
23,"イモリ","Newt","R","y",106,255,255,255,0,0,1,1,0,4,0,0,0,0,-1,110,8,12,30,10,10,10,10,10,10,23,2,1,0,23,2,1,0,"BITE:HURT:1d7
BITE:HURT:1d7",,,"JZ#","WEIRD_MIND|CAN_SWIM|DROP_CORPSE|WILD_GRASS|WILD_WASTE|WILD_SHORE|WILD_SWAMP|WILD_MOUNTAIN|ANIMAL",,,"$A small, harmless lizard.
小さな害のないトカゲだ。",,,,,,,
24,"巨大白ムカデ","Giant white centipede","c","w",82,255,255,255,0,0,1,1,0,4,0,0,0,0,-1,110,7,10,40,10,10,10,10,10,10,160,10,20,2,160,10,20,2,"BITE:HURT:1d5
STING:HURT:1d5",,,"J0#","RAND_50|DROP_SKELETON|WEIRD_MIND|BASH_DOOR|WILD_ALL|ANIMAL",,,"$It is about four feet long and carnivorous.
それは長さが 1.5 メートル近くもある肉食生物だ。",,,,,,,
25,"白ベトベト","White icky thing","i","w",82,255,255,255,0,0,1,1,0,3,7,41,0,0,-1,110,12,7,10,10,10,10,10,10,10,90,10,20,2,90,10,20,2,"TOUCH:HURT:1d5",,,"J0#
J0#
J0#(コメント)
J0# ベトベトという訳は結構気に入っている(^_^;
J0#
J0# 小林健一さんが日本語化したモリアをみたら「ネバネバ」だった(^_^;。
J0#","RAND_50|RAND_25|CAN_SWIM|WEIRD_MIND|DROP_CORPSE|EAT_CONF",,,"$It is a smallish, slimy, icky creature.
それはドロドロしてベトベトした小さなモンスターだ。",,,,,,,
26,"透明ベトベト","Clear icky thing","i","B",82,255,255,255,0,0,2,1,0,3,7,41,0,0,-1,110,12,6,10,10,10,10,10,10,10,90,10,20,2,90,10,20,2,"TOUCH:HURT:1d5",,,"J0#","ATTR_CLEAR|CAN_SWIM|RAND_50|RAND_25|INVISIBLE|WEIRD_MIND|DROP_CORPSE|EAT_CONF",,,"$It is a smallish, slimy, icky, blobby creature.
それは汚らしいドロドロネバネバした小さな塊のようなモンスターだ。",,,,,,,
27,"巨大ハツカネズミ","Giant white mouse","r","w",87,255,255,255,0,0,1,1,0,3,5,86,0,0,-1,110,8,4,20,10,10,10,10,10,10,92,10,20,2,92,10,20,2,"BITE:HURT:1d5",,,"J0#","RAND_50|WILD_GRASS|MULTIPLY|CAN_SWIM|ANIMAL|DROP_CORPSE|EAT_CONF",,,"$It is about three feet long with large teeth.
それは長い歯を持った 1 メートル近い大きさのネズミだ。",,,,,,,
28,"土ヘビ","Large brown snake","J","u",95,255,255,255,0,0,1,1,0,6,6,59,0,0,-1,100,4,35,99,10,10,10,10,10,10,240,10,50,2,240,10,50,2,"BITE:HURT:1d7
CRUSH:HURT:1d9",,,"J0#","RAND_25|CAN_SWIM|BASH_DOOR|DROP_SKELETON|DROP_CORPSE|ANIMAL",,,"$It is about eight feet long.
それは長さが 2.5 メートル近くもある。",,,,,,,
29,"バギンズ家の『フロド』","Frodo Baggins","h","w",3,3,255,10,0,0,15,4,0,0,0,0,0,0,0,110,40,10,3,14,14,14,14,14,14,99,0,23,0,99,0,23,0,"HIT:HURT:4d5
HIT:HURT:4d5
HIT:HURT:4d5",,"14:0:0:100
0:23:8:100","D'ang#","UNIQUE|MALE|CAN_SPEAK|DROP_CORPSE|FRIENDLY|FORCE_MAXHP|GOOD|ONLY_ITEM|DROP_90|DROP_GOOD|DROP_GREAT|OPEN_DOOR|BASH_DOOR|HAS_LITE_1|NO_CONF|NO_SLEEP",,,,,,,,,,
30,"コボルド","Kobold","k","g",13,255,255,255,0,0,3,1,0,5,14,102,0,0,-1,110,20,16,10,10,10,10,10,10,10,165,10,55,3,165,10,55,3,"HIT:HURT:1d8
HIT:HURT:1d8",,,"J0#","DROP_60|WILD_ALL|OPEN_DOOR|BASH_DOOR|DROP_SKELETON|DROP_CORPSE|EVIL|IM_POIS|EAT_POISONOUS",,,"$It is a small, dog-headed humanoid.
それは犬のような頭をした、小さな人間型のモンスターだ。",,,,,,,
31,"白イモムシの大群","White worm mass","w","w",89,255,255,255,0,0,1,1,0,4,5,58,0,0,-1,100,7,1,10,10,10,10,10,10,10,1,0,1,0,1,0,1,0,"CRAWL:POISON:1d5",,,"J0#","RAND_50|RAND_25|CAN_SWIM|STUPID|WEIRD_MIND|MULTIPLY|ANIMAL|IM_POIS|HURT_LITE|NO_FEAR",,,"$It is a large slimy mass of worms.
それはベトベトしたイモムシの大群だ。",,,,,,,
32,"フローティング・アイ","Floating eye","e","b",80,255,255,255,0,0,1,1,0,3,0,0,0,0,-1,110,2,6,10,10,10,10,10,10,10,40,2,10,1,40,2,10,1,"GAZE:PARALYZE",,,"J0#","NEVER_MOVE|CAN_FLY|DROP_CORPSE|HURT_LITE|NO_FEAR|EAT_SLEEP",,,"$A disembodied eye, floating a few feet above the ground.
地面から数十センチ上に浮かんでいる体を持たない目玉だ。",,,,,,,
33,"岩トカゲ","Rock lizard","R","U",106,255,255,255,0,0,1,1,0,4,20,82,0,0,-1,110,20,4,15,10,10,10,10,10,10,60,2,20,1,60,2,20,1,"BITE:HURT:1d3",,,"J0#","ANIMAL|CAN_SWIM|WILD_MOUNTAIN|DROP_CORPSE",,,"$It is a small lizard with a hardened hide.
それは小さなトカゲで固い皮を持っている。",,,,,,,
34,"グリッドバグ","Grid bug","I","v",94,255,255,255,0,0,1,3,0,4,0,0,0,0,-1,110,10,2,10,10,10,10,10,10,10,20,2,7,1,20,2,7,1,"BITE:ELEC:1d7",,,"JZ#","RAND_25|FRIENDS|CAN_FLY|STUPID|WEIRD_MIND|SELF_LITE_1|ANIMAL|NO_FEAR|IM_ELEC",,,"$A strange electric bug. 
奇妙な、電気的な虫だ。",,,,,,,
35,"ジャッカル","Jackal","C","U",92,255,255,255,0,0,1,1,0,3,40,196,0,0,-1,110,10,3,10,10,10,10,10,10,10,60,2,14,1,60,2,14,1,"BITE:HURT:1d3",,,"J0#","FRIENDS|ANIMAL|WILD_WOOD|WILD_GRASS|DROP_SKELETON|DROP_CORPSE",,,"$It is a yapping snarling dog, dangerous when in a pack.
それはやかましくうなる犬型の動物で、群れていると危険だ。",,,,,,,
36,"兵隊アリ","Soldier ant","a","u",77,255,255,255,0,0,1,1,0,6,5,49,0,0,-1,110,10,3,10,10,10,10,10,10,10,100,2,30,1,100,2,30,1,"BITE:HURT:1d5",,,"J0#","WEIRD_MIND|BASH_DOOR|DROP_CORPSE|ANIMAL|WILD_GRASS|EAT_POISONOUS",,,"$A large ant with powerful mandibles.
強いアゴを持った大きなアリだ。",,,,,,,
37,"フルーツ・コウモリ","Fruit bat","b","v",78,255,255,255,0,0,1,1,0,3,20,114,0,0,-1,120,20,3,10,10,10,10,10,10,10,35,2,6,1,35,2,6,1,"BITE:HURT:1d3",,,"J0#","ANIMAL|CAN_FLY|WILD_WOOD|WILD_SWAMP|DROP_CORPSE",,,"$A fast-moving pest.
動きの素早い厄介者だ。",,,,,,,
38,"蟲の大群","Insect swarm","I","u",94,255,255,255,0,0,1,1,0,3,0,0,0,0,-1,120,20,4,10,10,10,10,10,10,10,40,2,10,1,40,2,10,1,"BITE:HURT:1d5
STING:HURT:1d5",,,"JZ#
JZ#(コメント)訳は 紫月閑丸さん","ANIMAL|WEIRD_MIND|CAN_FLY|RAND_25|WILD_GRASS|WILD_WOOD|WILD_SWAMP",,,"$A lone insect may be harmless, but there's a whole swarm of 
$them here!
その虫は単体ならば特に害はないだろう、しかし
ここには大勢の大群がいる！",,,,,,,
39,"グレーター・ヘル=ビースト","Greater Hell-Beast","U","s",44,0,255,11,0,0,1,15,0,250,0,0,0,0,-1,115,10,300,99,30,30,30,30,30,30,480,2,1700,1,480,2,1700,1,"GAZE
GAZE
CRUSH",,"192:0:0:100","JZ#","EVIL|RES_ALL|KILL_WALL|FORCE_MAXHP|CAN_SWIM|DROP_CORPSE","1_IN_9|TPORT|BLINK|TELE_AWAY",,"$This unholy abomination will crush you. Flee while you can! 
この不浄な災いはあなたを押し潰すだろう。いまのうちに逃げろ！",,,,,,,
40,"絶叫おばけキノコ","Shrieker mushroom patch",",","R",104,255,255,255,0,0,2,1,0,3,0,0,0,0,-1,110,4,1,0,10,10,10,10,10,10,100,30,100,3,100,30,100,3,,,,"J0#","FORCE_SLEEP|NEVER_MOVE|NEVER_BLOW|STUPID|EMPTY_MIND|IM_POIS|WILD_SWAMP|DROP_CORPSE|NO_CONF|NO_SLEEP|NO_FEAR|VARIABLE_SIZE_EGO","1_IN_4|SHRIEK",,"$Yum!  These look quite tasty.
うーん！それはとてもおいしそうに見える。",,,,,,,
41,"号泣ベトベト","Blubbering icky thing","i","g",82,255,255,255,0,0,2,1,0,8,12,103,0,0,-1,110,14,4,10,10,10,10,10,10,10,70,2,20,1,70,2,20,1,"CRAWL:POISON:1d10
CRAWL:EAT_FOOD
DROOL
DROOL",,,"J0#","RAND_50|DROP_90|CAN_SWIM|DROP_CORPSE|WEIRD_MIND|TAKE_ITEM|KILL_BODY|EAT_CONF|IM_POIS",,,"$It is a smallish, slimy, icky, hungry creature.
それはドロドロしてベトベトして貪欲な小さいモンスターだ。",,,,,,,
42,"銀緑ムカデ","Metallic green centipede","c","G",82,255,255,255,0,0,2,1,0,4,6,67,0,0,-1,120,5,4,10,10,10,10,10,10,10,150,2,30,1,150,2,30,1,"CRAWL:HURT:1d3",,,"J0#
J0#
J0#(コメント)
J0# 銀～という色のあらわし方はあまり気に入っていない。
J0#","RAND_50|WILD_ALL|DROP_SKELETON|WEIRD_MIND|BASH_DOOR|ANIMAL",,,"$It is about four feet long and carnivorous.
それは長さが 1.5 メートル近くもある肉食生物だ。",,,,,,,
43,"見習戦士","Novice warrior","p","U",0,0,255,255,0,0,2,1,0,8,70,216,0,0,-1,110,20,0,5,10,10,10,10,10,10,165,20,60,3,165,20,60,3,"HIT:HURT:1d8
HIT:HURT:1d8
HIT:HURT:1d7",,,"J0#","MALE|HAS_LITE_1|RACE_EGO|DROP_60|WILD_ALL|DROP_SKELETON|DROP_CORPSE|RACE_EGO|OPEN_DOOR|BASH_DOOR|EAT_GIVE_STR|EAT_LOSE_INT|EAT_LOSE_WIS|",,,"$He looks inexperienced but tough.
彼はまだまだ経験は浅いようだが、手強い相手だ。",,,,,,,
44,"見習盗賊","Novice rogue","p","D",0,3,255,255,0,0,2,1,0,8,50,150,0,0,-1,110,20,0,5,10,10,10,10,10,10,165,20,60,3,165,20,60,3,"HIT:HURT:1d5
HIT:HURT:1d5
TOUCH:EAT_GOLD",,,"J0#","MALE|RACE_EGO|DROP_60|DROP_SKELETON|DROP_CORPSE|RACE_EGO|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|WILD_ALL|EVIL|EAT_GIVE_DEX|EAT_LOSE_WIS|EAT_LOSE_CHR|",,,"$A rather shifty individual.
彼は多少は策略をめぐらす。",,,,,,,
45,"見習プリースト","Novice priest","p","B",0,2,255,255,0,0,2,1,0,9,100,225,0,0,-1,110,20,0,10,10,10,10,10,10,10,165,20,60,3,165,20,60,3,"HIT:HURT:1d9",,,"J0#","MALE|HAS_LITE_1|RACE_EGO|FORCE_SLEEP|GOOD|WILD_ALL|DROP_SKELETON|DROP_CORPSE|DROP_60|EAT_GIVE_WIS|EAT_LOSE_INT|EAT_LOSE_CON|OPEN_DOOR|BASH_DOOR|","1_IN_12|HEAL|SCARE|CAUSE_1",,"$He is tripping over his priestly robes.
彼は自分の法衣のすそを踏んづけてはつまづいている。",,,,,,,
46,"見習メイジ","Novice mage","p","R",0,1,255,255,0,0,2,1,0,9,100,240,0,0,-1,110,20,0,5,10,10,10,10,10,10,165,20,60,3,165,20,60,3,"HIT:HURT:1d8",,,"J0#","MALE|HAS_LITE_1|RACE_EGO|FORCE_SLEEP|WILD_ALL|DROP_SKELETON|DROP_CORPSE|DROP_60|EAT_GIVE_INT|EAT_LOSE_STR|EAT_LOSE_CON|OPEN_DOOR|BASH_DOOR|","1_IN_12|BLINK|BLIND|CONF|MISSILE",,"$He is leaving behind a trail of dropped spell components.
彼はさっと呪文を唱えるだけ唱えては逃げようとする。",,,,,,,
47,"黄おばけキノコ","Yellow mushroom patch",",","y",104,255,255,255,0,0,2,1,0,3,10,72,0,0,-1,110,2,1,0,10,10,10,10,10,10,100,30,100,3,100,30,100,3,"SPORE:TERRIFY:2d5",,,"J0#","NEVER_MOVE|WILD_SWAMP|STUPID|EMPTY_MIND|IM_POIS|NO_CONF|NO_SLEEP|NO_FEAR|VARIABLE_SIZE_EGO",,,"$Yum!  It looks quite tasty.
うーん！それはとてもおいしそうに見える。",,,,,,,
48,"ホワイト・ゼリー","White jelly","j","w",83,255,255,255,0,0,2,1,0,12,6,66,0,0,-1,120,2,1,99,10,10,10,10,10,10,100,30,100,3,100,30,100,3,"TOUCH:DR_MANA:1d3",,,"J0#","NEVER_MOVE|CAN_SWIM|STUPID|WEIRD_MIND|IM_POIS|HURT_LITE|NO_CONF|NO_SLEEP|NO_FEAR|VARIABLE_SIZE_EGO",,,"$Its a large pile of white flesh.
それは白い肉のような物質の塊だ。",,,,,,,
49,"巨大黒アリ","Giant black ant","a","D",77,255,255,255,0,0,2,1,0,10,40,168,0,0,-1,110,8,20,80,10,10,10,10,10,10,165,10,55,3,165,10,55,3,"BITE:HURT:1d8",,,"J0#","RAND_25|WEIRD_MIND|DROP_CORPSE|EAT_ACIDIC|BASH_DOOR|WILD_WOOD|WILD_GRASS|ANIMAL",,,"$It is about three feet long.
それは大きさが 1 メートル近くもある。",,,,,,,
