"ID","CM","NAME","E_NAME","SEX","LEV","DR","P_STR","P_INT","P_WIS","P_DEX","P_CON","P_CHA","H_STR","H_INT","H_WIS","H_DEX","H_CON","H_CHA","P_DIS","P_DEV","P_SAV","P_STL","P_SRH","P_FOS","P_THN","P_THB","P_INFRA","H_DIS","H_DEV","H_SAV","H_STL","H_SRH","H_FOS","H_THN","H_THB","H_INFRA","M_HB","M_HM","M_WB","M_WM","F_HB","F_HM","F_WB","F_WM","P_HITD_M","P_EXP","H_HITD_M","H_EXP","SYM","AGE","AGE_ADD","P_FLAGS","H_FLAGS","SUIT_CLASS"
"10 ","0 ","ダークエルフ","Dark-Elf","0x3","1 ","-1 ","-1 ","3 ","2 ","2 ","-2 ","1 ","-1 ","1 ","1 ","0 ","-1 ","1 ","5 ","10 ","10 ","3 ","13 ","12 ","5 ","15 ","5 ","1 ","2 ","1 ","2 ","3 ","2 ","0 ","2 ","2 ","163 ","8 ","50 ","1 ","173 ","8 ","64 ","1 ","0 ","130 ","0 ","135 ","h","15 ","75 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"11 ","2 ","エルダール","Eldar","0x3","19 ","1 ","2 ","3 ","3 ","3 ","2 ","3 ","1 ","1 ","1 ","1 ","1 ","2 ","7 ","13 ","12 ","4 ","14 ","15 ","15 ","25 ","4 ","1 ","3 ","3 ","2 ","3 ","3 ","4 ","6 ","2 ","200 ","12 ","108 ","1 ","194 ","12 ","91 ","1 ","0 ","200 ","0 ","200 ","h","20 ","7000 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"12 ","2 ","アヴァリ","Avari","0x7","18 ","1 ","3 ","3 ","1 ","2 ","3 ","2 ","1 ","2 ","0 ","1 ","2 ","1 ","7 ","14 ","10 ","4 ","14 ","13 ","10 ","30 ","4 ","1 ","4 ","2 ","2 ","3 ","3 ","3 ","8 ","2 ","202 ","12 ","112 ","1 ","200 ","12 ","105 ","1 ","0 ","200 ","0 ","200 ","h","20 ","7000 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"13 ","1 ","コボルド","Kobold","0x3","1 ","-1 ","2 ","-1 ","0 ","1 ","0 ","-2 ","1 ","0 ","0 ","0 ","0 ","-1 ","8 ","3 ","3 ","0 ","8 ","8 ","17 ","5 ","3 ","-1 ","-1 ","1 ","0 ","-2 ","-2 ","5 ","-2 ","1 ","172 ","10 ","65 ","1 ","170 ","10 ","63 ","1 ","0 ","110 ","0 ","110 ","k","13 ","20 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"14 ","1 ","ニーベルング","Nibelung","0x3","1 ","-1 ","1 ","-2 ","0 ","0 ","1 ","-2 ","1 ","-1 ","0 ","0 ","1 ","-1 ","5 ","5 ","5 ","1 ","16 ","10 ","10 ","10 ","5 ","0 ","0 ","0 ","1 ","3 ","0 ","0 ","0 ","3 ","120 ","6 ","30 ","1 ","114 ","6 ","27 ","1 ","0 ","140 ","0 ","120 ","h","13 ","40 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"15 ","1 ","スプライト","Sprite","0x7","1 ","-1 ","-4 ","4 ","3 ","3 ","-2 ","2 ","-2 ","2 ","1 ","1 ","-2 ","1 ","10 ","8 ","6 ","5 ","17 ","10 ","0 ","10 ","4 ","3 ","2 ","1 ","3 ","3 ","0 ","-5 ","0 ","2 ","60 ","5 ","18 ","1 ","60 ","5 ","18 ","1 ","0 ","145 ","0 ","120 ","I","10 ","30 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"16 ","2 ","影フェアリー","Shadow-Fairy","0x7","1 ","-1 ","-2 ","3 ","3 ","2 ","-1 ","0 ","-1 ","1 ","1 ","1 ","0 ","0 ","7 ","8 ","5 ","8 ","19 ","15 ","0 ","5 ","12 ","2 ","2 ","0 ","4 ","5 ","2 ","-5 ","0 ","6 ","180 ","8 ","50 ","1 ","170 ","8 ","35 ","1 ","0 ","155 ","0 ","125 ","I","10 ","100 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"17 ","0 ","ウェアフォーク","Warefolk","0x3","1 ","-1 ","3 ","-2 ","-2 ","0 ","3 ","0 ","1 ","-1 ","-1 ","0 ","1 ","0 ","3 ","3 ","3 ","0 ","10 ","15 ","16 ","0 ","3 ","-1 ","-1 ","-1 ","0 ","0 ","2 ","3 ","0 ","2 ","170 ","13 ","62 ","2 ","155 ","13 ","42 ","2 ","0 ","130 ","0 ","130 ","p","12 ","30 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"18 ","1 ","スケイヴン","Skaven","0x3","1 ","-1 ","1 ","3 ","-4 ","2 ","-2 ","-3 ","0 ","2 ","-2 ","1 ","-1 ","-1 ","5 ","12 ","5 ","2 ","7 ","8 ","15 ","16 ","10 ","0 ","3 ","0 ","1 ","-2 ","-1 ","2 ","3 ","5 ","175 ","15 ","80 ","3 ","175 ","15 ","80 ","3 ","0 ","170 ","0 ","170 ","p","10 ","35 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"19 ","0 ","リザードマン","Lizardman","0x3","1 ","-1 ","3 ","-1 ","-1 ","-2 ","3 ","-1 ","2 ","0 ","0 ","-1 ","1 ","0 ","3 ","2 ","6 ","0 ","8 ","10 ","22 ","20 ","2 ","-2 ","-1 ","0 ","0 ","0 ","0 ","6 ","4 ","1 ","185 ","10 ","113 ","1 ","193 ","10 ","125 ","1 ","0 ","165 ","0 ","165 ","p","11 ","45 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"20 ","0 ","ビーストマン","Beastman","0xF","1 ","-1 ","2 ","-2 ","-1 ","-1 ","2 ","-2 ","1 ","-1 ","0 ","0 ","1 ","-1 ","2 ","2 ","2 ","-1 ","8 ","5 ","22 ","5 ","0 ","-1 ","-1 ","-2 ","-2 ","-2 ","0 ","8 ","-3 ","0 ","170 ","20 ","60 ","4 ","170 ","20 ","60 ","4 ","0 ","140 ","0 ","140 ","H","12 ","30 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"21 ","1 ","ミノタウロス","Minotaur","0x3","12 ","-1 ","5 ","-1 ","-2 ","1 ","4 ","-3 ","2 ","0 ","-1 ","0 ","2 ","-1 ","2 ","5 ","13 ","-1 ","8 ","7 ","32 ","15 ","0 ","-1 ","0 ","4 ","0 ","-1 ","-2 ","10 ","3 ","0 ","230 ","13 ","143 ","1 ","225 ","13 ","139 ","1 ","0 ","185 ","0 ","185 ","H","15 ","100 ",,,"WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"22 ","1 ","ナーガ","Naga","0x3","1 ","-1 ","2 ","2 ","0 ","1 ","-1 ","1 ","1 ","1 ","0 ","0 ","0 ","1 ","2 ","6 ","7 ","-1 ","12 ","11 ","14 ","13 ","5 ","-1 ","2 ","1 ","0 ","1 ","1 ","2 ","1 ","3 ","190 ","4 ","120 ","2 ","200 ","4 ","135 ","2 ","0 ","160 ","0 ","160 ","n","15 ","100 ",,,"WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"23 ","1 ","マーフォーク","Marfolk","0x3","1 ","-1 ","2 ","0 ","0 ","1 ","-1 ","2 ","1 ","0 ","0 ","0 ","-1 ","1 ","0 ","4 ","10 ","1 ","11 ","10 ","12 ","8 ","0 ","0 ","-1 ","2 ","1 ","1 ","0 ","1 ","-1 ","0 ","170 ","10 ","75 ","1 ","155 ","10 ","55 ","1 ","0 ","130 ","0 ","130 ","h","15 ","30 ",,,"WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"24 ","1 ","ケンタウロス","Centaur","0x3","12 ","-1 ","2 ","-2 ","0 ","2 ","2 ","0 ","1 ","-1 ","0 ","1 ","1 ","0 ","2 ","7 ","6 ","-2 ","14 ","11 ","15 ","30 ","0 ","-1 ","1 ","1 ","-1 ","2 ","0 ","3 ","10 ","0 ","204 ","20 ","420 ","3 ","204 ","20 ","420 ","3 ","0 ","210 ","0 ","210 ","H","15 ","100 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"25 ","2 ","エント","Ent","0x7","15 ","-1 ","2 ","0 ","2 ","-3 ","2 ","0 ","1 ","0 ","1 ","-2 ","1 ","0 ","0 ","3 ","16 ","-1 ","7 ","9 ","27 ","12 ","0 ","-3 ","-1 ","3 ","0 ","-1 ","-1 ","8 ","1 ","0 ","350 ","30 ","870 ","10 ","360 ","30 ","950 ","10 ","0 ","140 ","0 ","140 ","#","120 ","700 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"26 ","0 ","オーク","Orc","0x3","1 ","-1 ","2 ","1 ","0 ","0 ","2 ","-2 ","1 ","0 ","0 ","0 ","1 ","-1 ","3 ","4 ","2 ","-1 ","0 ","7 ","19 ","12 ","3 ","-1 ","0 ","-2 ","0 ","0 ","-1 ","4 ","1 ","1 ","180 ","10 ","75 ","1 ","172 ","10 ","65 ","2 ","0 ","110 ","0 ","110 ","o","12 ","20 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"27 ","2 ","ウルク","Uruk","0x3","22 ","1 ","4 ","2 ","2 ","3 ","4 ","0 ","2 ","0 ","0 ","1 ","2 ","0 ","6 ","10 ","20 ","-1 ","15 ","12 ","24 ","20 ","3 ","0 ","3 ","10 ","0 ","3 ","1 ","7 ","6 ","2 ","215 ","11 ","123 ","1 ","210 ","11 ","112 ","1 ","0 ","215 ","0 ","215 ","o","20 ","7000 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"28 ","1 ","トロル","Troll","0x7","10 ","-1 ","4 ","-2 ","0 ","-2 ","3 ","-2 ","2 ","-1 ","0 ","0 ","2 ","-1 ","2 ","2 ","3 ","-2 ","2 ","2 ","22 ","1 ","3 ","-2 ","-2 ","-1 ","-1 ","-3 ","-3 ","6 ","-3 ","1 ","345 ","21 ","569 ","4 ","340 ","21 ","548 ","4 ","0 ","125 ","0 ","125 ","T","12 ","20 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"29 ","2 ","オログ","Orog","0x7","25 ","1 ","6 ","0 ","2 ","2 ","6 ","0 ","3 ","0 ","1 ","1 ","3 ","0 ","2 ","5 ","18 ","-1 ","14 ","12 ","35 ","4 ","3 ","-2 ","0 ","4 ","0 ","2 ","1 ","12 ","-2 ","2 ","485 ","31 ","1690 ","10 ","450 ","31 ","1680 ","10 ","0 ","235 ","0 ","235 ","T","20 ","7000 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
